CTR,SUMLEV,COUNTY,TRACT,NAME,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24yrs,pop.25to44yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,Tract.prob,Wrkld.18to24.yrs,Wrkld.25to44yrs,Wrkld.45to54yrs,Wrkld.55to64yrs,Wrkld.65plus,Total.wrkld
21,140,3,706402,Census Tract 7064.02,3250,1585,229,188,154,356,1081,443,364,443,275,168,7.80,0.195,9.3,6.9,6.3,8.2,9.3,40.0
22,140,3,706500,Census Tract 7065,4337,1947,295,271,237,450,1430,632,421,594,304,290,10.10,0.253,9.0,7.0,7.0,7.3,9.6,40.0
23,140,3,706600,Census Tract 7066,5151,2235,368,494,444,359,1439,729,536,749,372,377,11.06,0.277,6.6,6.5,7.4,8.5,11.1,40.0
24,140,3,706700,Census Tract 7067,4264,263,103,114,85,3441,404,50,34,18,13,5,18.31,0.458,38.1,1.1,0.3,0.3,0.2,40.0
25,140,3,707001,Census Tract 7070.01,5702,2364,553,450,497,354,1877,903,557,476,224,252,11.04,0.276,6.5,8.5,9.1,8.8,7.1,40.0
26,140,3,707002,Census Tract 7070.02,4762,1928,304,453,467,274,1582,773,424,441,290,151,9.18,0.229,6.1,8.6,9.4,8.1,7.9,40.0
27,140,3,708000,Census Tract 7080,8846,3628,523,795,757,578,2495,1481,975,1151,681,470,19.16,0.479,6.1,6.5,8.6,8.9,9.9,40.0
28,140,3,730100,Census Tract 7301,6118,2426,570,516,389,419,2330,775,518,559,323,236,11.75,0.294,7.2,9.9,7.4,7.7,7.8,40.0
29,140,3,730203,Census Tract 7302.03,4918,2527,383,383,310,674,1583,494,445,605,324,281,11.19,0.280,12.2,7.0,4.9,7.0,8.9,40.0
30,140,3,730204,Census Tract 7302.04,5486,1801,521,629,459,399,1816,686,426,519,373,146,10.19,0.255,7.9,8.9,7.5,7.3,8.4,40.0
31,140,3,730300,Census Tract 7303,3093,1165,281,220,219,235,985,383,297,436,268,168,6.57,0.164,7.2,7.4,6.5,7.9,10.9,40.0
32,140,3,730401,Census Tract 7304.01,4137,1619,270,391,371,296,1453,545,316,459,250,209,8.09,0.202,7.4,8.9,7.5,6.8,9.3,40.0
33,140,3,730402,Census Tract 7304.02,5843,2479,451,406,426,614,1941,709,540,744,486,258,12.92,0.323,9.6,7.5,6.1,7.3,9.4,40.0
34,140,3,730502,Census Tract 7305.02,5609,2097,320,503,535,502,1877,827,523,471,254,217,11.41,0.285,8.9,8.2,8.1,8.0,6.8,40.0
35,140,3,730503,Census Tract 7305.03,7943,3873,628,522,552,1225,3381,721,435,409,230,179,16.01,0.400,15.5,10.5,5.0,4.8,4.2,40.0
36,140,3,730504,Census Tract 7305.04,7691,2893,546,701,853,623,2805,1136,589,405,298,107,14.06,0.351,9.0,9.9,9.0,7.3,4.7,40.0
37,140,3,730601,Census Tract 7306.01,6546,2077,539,687,757,303,1541,1342,779,569,349,220,12.94,0.324,4.7,5.9,11.6,10.5,7.2,40.0
38,140,3,730603,Census Tract 7306.03,2903,965,183,316,331,136,821,466,294,316,243,73,5.59,0.140,4.9,7.3,9.3,9.2,9.3,40.0
39,140,3,730604,Census Tract 7306.04,6212,2054,460,671,602,322,1726,1053,700,645,344,301,12.43,0.311,5.3,6.9,9.5,9.9,8.5,40.0
40,140,3,730700,Census Tract 7307,6650,2607,498,573,600,302,1820,1157,710,959,530,429,14.07,0.352,4.4,6.4,9.2,8.8,11.2,40.0
41,140,3,730800,Census Tract 7308,2324,920,130,191,220,53,497,414,356,427,278,149,5.35,0.134,2.0,4.6,8.6,11.7,13.1,40.0
